0	0	0
0	1	0
1	1	0
2	2	1
2	4	3
3	4	4
4	6	5
5	8	7
7	10	10
10	11	12
12	13	14
14	15	15
15	16	16
17	17	17
18	18	19
19	20	20
20	21	21
21	22	22
22	23	23
23	23	24
24	24	25
24	25	25
25	25	26
26	26	26
27	27	27
27	28	28
28	28	29
29	29	29
29	29	30
30	30	31
31	31	31
32	32	32
32	32	32
33	33	33
34	34	34
34	35	34
35	35	35
35	36	36
36	37	36
37	37	37
37	37	38
38	38	38
38	39	39
39	39	39
39	40	40
40	40	40
41	41	41
41	41	41
42	42	42
42	42	42
43	43	42
44	43	43
44	44	44
45	44	44
45	45	45
46	46	45
46	46	46
47	47	46
47	47	47
48	47	47
48	48	47
48	48	48
49	49	48
49	49	49
49	50	49
50	51	50
50	51	50
51	52	51
51	52	51
52	53	52
52	53	52
53	54	53
53	54	53
54	55	54
54	55	54
55	55	54
55	56	55
55	56	55
56	57	56
56	57	56
57	58	56
57	58	57
58	59	57
58	59	58
59	60	59
59	60	59
60	61	59
60	61	60
61	62	61
61	62	61
62	63	62
62	64	62
63	64	63
63	65	63
64	65	64
64	65	64
65	66	64
65	67	65
66	67	65
66	67	66
66	68	66
67	68	67
68	69	67
68	70	68
69	70	68
69	71	69
70	72	69
70	72	70
71	73	71
71	73	71
72	74	72
73	74	72
73	75	73
74	76	74
74	76	74
75	77	75
76	77	75
76	78	76
77	78	76
78	79	77
79	80	78
79	81	78
80	81	78
80	82	79
81	83	80
82	84	80
82	84	81
83	85	82
84	85	82
84	86	83
85	86	83
85	87	84
86	88	85
86	88	85
87	89	86
88	89	87
88	90	87
89	90	88
90	91	88
91	92	89
92	93	90
93	93	91
93	94	92
94	95	92
95	96	93
95	97	94
96	97	94
97	98	95
98	99	96
99	100	96
100	100	97
100	101	98
101	102	99
102	103	100
103	103	100
104	104	101
105	105	102
107	106	103
108	107	104
109	108	105
109	109	106
110	110	108
111	111	108
112	112	109
112	113	109
114	114	110
114	115	112
116	115	113
117	116	113
118	118	114
119	119	115
120	120	116
120	121	116
121	122	117
122	123	118
123	124	119
125	124	120
126	126	121
127	127	122
128	128	123
129	129	124
130	130	126
131	130	126
132	132	127
133	133	129
135	134	130
136	135	132
137	137	133
138	139	134
140	139	136
141	140	136
142	140	138
144	142	140
145	143	141
145	145	142
147	147	144
148	148	146
150	149	146
151	151	148
152	151	149
153	152	150
155	154	152
157	156	153
158	156	155
159	158	156
160	159	157
161	162	158
162	164	160
163	165	164
165	167	164
170	169	165
170	171	166
171	174	167
174	176	169
175	179	172
178	192	174
182	191	178
187	187	179
193	186	183
193	187	187
193	189	190
196	190	196
194	191	198
197	193	198
198	195	199
200	196	203
201	197	201
202	201	200
204	199	202
203	199	203
206	202	204
207	207	205
207	207	210
212	208	208
213	209	209
214	214	215
215	215	215
220	218	217
222	221	220
224	223	223
227	224	225
228	226	229
230	232	232
235	234	232
237	234	234
238	234	236
240	237	237
239	238	240
232	243	241
236	245	234
239	247	238
242	248	241
245	250	245
249	252	248
252	253	252
255	255	255
